Hotel Name,Description Heading,Description,Price,Image URL,Location,Rating,Review Count
The Evelyn Hotel,Description heading not available,Description not available,CA $591,https://images.trvl-media.com/lodging/1000000/30000/26200/26149/f0ef4f40.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(1,006 reviews),(1,006 reviews)
Equinox Hotel New York,Description heading not available,Description not available,CA $2,855,https://images.trvl-media.com/lodging/32000000/31170000/31160400/31160305/fd0358d2.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.2 out of 10,(472 reviews),(472 reviews)
Hotel Edison Times Square,Description heading not available,Description not available,CA $568,https://images.trvl-media.com/lodging/1000000/10000/6300/6260/bd370beb.jpg?impolicy=resizecrop&rw=455&ra=fit,Theater District,8.0 out of 10,(4,221 reviews),(4,221 reviews)
Hyatt Place New York/Chelsea,Description heading not available,Description not available,CA $546,https://images.trvl-media.com/lodging/61000000/60520000/60517900/60517845/de072a5b.jpg?impolicy=resizecrop&rw=455&ra=fit,Chelsea,8.4 out of 10,(1,222 reviews),(1,222 reviews)
Hotel Indigo Lower East Side New York, an IHG Hotel,Description heading not available,Description not available,CA $2,404,https://images.trvl-media.com/lodging/10000000/9350000/9341200/9341162/0e9a880f.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.0 out of 10,(1,012 reviews),(1,012 reviews)
Hotel Boutique at Grand Central,Description heading not available,Description not available,CA $591,https://images.trvl-media.com/lodging/7000000/6260000/6256100/6256021/cf7c8ff0.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.6 out of 10,(1,060 reviews),(1,060 reviews)
Hyatt Grand Central New York,Description heading not available,Description not available,CA $715,https://images.trvl-media.com/lodging/1000000/30000/23700/23677/600560f8.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.0 out of 10,(3,510 reviews),(3,510 reviews)
The Shoreham Hotel,Description heading not available,Description not available,CA $730,https://images.trvl-media.com/lodging/1000000/20000/18400/18352/523f316c.jpg?impolicy=resizecrop&rw=455&ra=fit,Central New York City,7.6 out of 10,(1,010 reviews),(1,010 reviews)
OYO Times Square,Description heading not available,Description not available,CA $494,https://images.trvl-media.com/lodging/1000000/10000/6700/6697/00af05d5.jpg?impolicy=resizecrop&rw=455&ra=fit,Theater District,7.4 out of 10,(1,002 reviews),(1,002 reviews)
Millennium Downtown New York,Description heading not available,Description not available,CA $626,https://images.trvl-media.com/lodging/1000000/900000/892100/892034/4c954d08.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,7.4 out of 10,(2,337 reviews),(2,337 reviews)
Sanctuary Hotel New York,Description heading not available,Description not available,CA $725,https://images.trvl-media.com/lodging/5000000/4190000/4187700/4187606/0aae3b77.jpg?impolicy=resizecrop&rw=455&ra=fit,Theater District,8.6 out of 10,(1,004 reviews),(1,004 reviews)
Park Lane New York,Description heading not available,Description not available,CA $1,265,https://images.trvl-media.com/lodging/1000000/10000/2800/2714/50f6b46d.jpg?impolicy=resizecrop&rw=455&ra=fit,Central New York City,8.8 out of 10,(859 reviews),(859 reviews)
Tempo by Hilton New York Times Square,Description heading not available,Description not available,CA $794,https://images.trvl-media.com/lodging/1000000/20000/17500/17497/82bdfc2c.jpg?impolicy=resizecrop&rw=455&ra=fit,Theater District,9.4 out of 10,(2,385 reviews),(2,385 reviews)
